,id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,referralUrl,treasury,audit_links,openSource,governanceID,language,staking,parentProtocol,pool2,oraclesByChain
10,2270,Crypto-com,,-,https://crypto.com,The World Fastest Growing Crypto App.,Multi-Chain,https://icons.llama.fi/crypto-com.jpg,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Polygon', 'Fantom', 'Binance', 'Optimism', 'Avalanche', 'Arbitrum']",crypto-com/index.js,cryptocom,[],[],1668173255.0,crypto-com,3417.46,"{'Optimism': 0.7, 'Binance': 1.66, 'Ethereum': 2215.56, 'Avalanche': 0.0, 'Polygon': 34.23, 'Arbitrum': 0.0, 'Fantom': 10.66, 'Bitcoin': 1154.65}",-0.1677592343890808,-3.282826524474544,3.2244700384923135,{},,,,,,,,,,
11,319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,Multi-Chain,https://icons.llama.fi/convex-finance.jpg,2,,convex-finance,9903,Yield,"['Ethereum', 'Arbitrum', 'Polygon']",convex/index.js,ConvexFinance,,,,convex-finance,3272.94,"{'Ethereum': 3161.83, 'Polygon': 54.41, 'Ethereum-staking': 244.46, 'Arbitrum': 56.7, 'staking': 244.46}",0.005832156864556737,-1.9972480277810831,0.06733091731949514,{},,convex.js,['https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf'],,,,244458961.95669377,,,
12,694,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,https://just.network/token,"Just Cryptos builds a bridge that connects premium crypto currencies from the TRON network and other public chains, and introduces token value to TRON to power the JUST ecosystem. All assets are stored, and can be swapped on Poloniex.",Tron,https://icons.llama.fi/justcryptos.png,0,,,,Bridge,['Tron'],justCryptos/index.js,DeFi_JUST,,,1634850489.0,justcryptos,3217.32,{'Tron': 3217.32},-0.07677609405651253,-3.167543986890678,1.4455829481091484,{},,,,,,,,,,
13,2276,Huobi,,-,https://www.huobi.com,Huobi Global is a world-leading cryptocurrency trading exchange.,Multi-Chain,https://icons.llama.fi/huobi.jpg,0,,,,CEX,"['Tron', 'Ethereum', 'Bitcoin', 'Polygon', 'Avalanche', 'Solana', 'EOS', 'Algorand', 'Litecoin']",huobi/index.js,HuobiGlobal,[],[],1668362612.0,huobi,2995.9,"{'Litecoin': 0.0, 'EOS': 7.25, 'Ethereum': 997.04, 'Algorand': 1.87, 'Avalanche': 13.14, 'Polygon': 20.05, 'Solana': 10.15, 'Tron': 1102.33, 'Bitcoin': 844.07}",-0.15732412282658004,-2.806137317368865,1.7093046375988195,{},,,,,,,,,,
14,2198,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V2
",Multi-Chain,https://icons.llama.fi/uniswap-v3.png,2,,,1348,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Binance', 'Celo']",uniswap/index.js,Uniswap,,[],1666191475.0,uniswap-v3,2936.8,"{'Optimism': 79.79, 'Binance': 16.75, 'Ethereum': 2426.95, 'Polygon': 94.78, 'Celo': 9.08, 'Arbitrum': 309.45}",-0.1921067273198389,-2.339205060597891,-0.5805176665142255,{},,,"['https://github.com/Uniswap/uniswap-v3-core/tree/main/audits', 'https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits', 'https://github.com/ConsenSys/Uniswap-audit-report-2018-12']",,,,,parent#uniswap,,
15,2286,Bybit,,-,https://www.bybit.com,"Crypto trading experience elevated. Buy, sell, trade BTC, altcoins & NFTs. Get access to the spot and futures market or stake your coins securely.",Multi-Chain,https://icons.llama.fi/bybit.png,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Arbitrum', 'Binance', 'Ripple', 'Optimism', 'Polygon', 'Avalanche']",bybit/index.js,Bybit_Official,[],[],1668595021.0,bybit,2894.18,"{'Optimism': 27.56, 'Binance': 60.9, 'Ethereum': 1590.25, 'Avalanche': 14.6, 'Polygon': 17.9, 'Tron': 276.1, 'Arbitrum': 61.34, 'Ripple': 42.63, 'Bitcoin': 802.9}",-0.22828017751305651,-2.3782379728790346,0.05136476874652374,{},,,,,,,,,,
16,2274,Kucoin,,-,https://www.kucoin.com,cex,Multi-Chain,https://icons.llama.fi/kucoin.jpg,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Algorand', 'EOS', 'Optimism', 'Kucoin', 'Arbitrum']",kucoin/index.js,kucoincom,[],[],1668191855.0,kucoin,2629.07,"{'Optimism': 3.85, 'Kucoin': 2.15, 'EOS': 26.32, 'Ethereum': 1710.32, 'Algorand': 109.77, 'Tron': 350.74, 'Arbitrum': 1.79, 'Bitcoin': 424.13}",-0.049680201879908736,-1.7244161288103754,-0.11456932084587379,{},,,,,,,,,,
17,2222,Coinbase Wrapped Staked ETH,,-,https://www.coinbase.com/price/coinbase-wrapped-staked-eth,"Coinbase is allowing customers who stake ETH to receive an ERC20 utility token called Coinbase Wrapped Staked ETH (“cbETH”), which is a liquid representation of their staked-ETH.",Ethereum,https://icons.llama.fi/coinbase-wrapped-staked-eth.png,0,,,,Liquid Staking,['Ethereum'],cbETH/index.js,coinbase,[],[],1666641682.0,coinbase-wrapped-staked-eth,2194.91,{'Ethereum': 2194.91},0.14598615719911834,-2.7492806544717894,3.852521791721955,{},,,,,,,,,,
18,120,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,https://instadapp.io/,Aims to drive interoperability between protocols for power users and ease of development allowing developers of all stripes to start leveraging the full potential of Decentralised Finance.,Ethereum,https://icons.llama.fi/instadapp.jpg,,,instadapp,10508,Services,['Ethereum'],instadapp.js,Instadapp,,,,instadapp,2165.54,{'Ethereum': 2165.54},0.013471413035915702,-2.2427817761254403,2.8044947969430467,{},,instadapp.js,['https://github.com/Instadapp/dsa-contracts/blob/master/audits/v1_PeckShield_Mar_2020.pdf'],,['snapshot:instadapp-gov.eth'],,,,,
19,2314,Gate-io,,-,https://www.gate.io,"Leading cryptocurrency exchange with over 1400+ cryptocurrencies & stablecoins such as Bitcoi, Ethereum, Dogecoin",Multi-Chain,https://icons.llama.fi/gate-io.jpg,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Binance', 'Tron', 'Arbitrum', 'Ripple', 'Optimism', 'Polygon', 'Cardano', 'Solana', 'Avalanche', 'Fantom']",gate-io/index.js,gate_io,[],[],1669634683.0,gate-io,1844.91,"{'Optimism': 17.21, 'Binance': 145.53, 'Ethereum': 1122.29, 'Cardano': 16.35, 'Avalanche': 4.04, 'Polygon': 16.85, 'Solana': 6.12, 'Tron': 63.11, 'Arbitrum': 48.68, 'Ripple': 39.15, 'Fantom': 0.23, 'Bitcoin': 365.35}",0.38246393757791,-2.0266360121285487,-0.48324842499806664,{},,,,,,,,,,
20,2273,Deribit,,-,https://www.deribit.com,World's biggest Bitcoin and Ethereum Options Exchange and the most advanced crypto derivatives trading platform with up to 50x leverage on Crypto Futures.,Multi-Chain,https://icons.llama.fi/deribit.png,0,,,,CEX,"['Bitcoin', 'Ethereum', 'Solana', 'EthereumPoW']",deribit/index.js,DeribitExchange,[],[],1668191855.0,deribit,1807.62,"{'Ethereum': 745.94, 'EthereumPoW': 0.01, 'Solana': 1.17, 'Bitcoin': 1060.5}",-0.16297237204275916,-2.8861416593232576,2.1711055468432505,{},,,,,,,,,,
21,900,Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,https://rocketpool.net,"Rocket Pool is the first truly decentralised Ethereum staking pool. Liquid Staking, Audited SC, and Minimised Penalty Risk. Unlike solo stakers, who are required to put 32 ETH up for deposit to create a new validator, Rocket Pool nodes only need to deposit 16 ETH per validator. This will be coupled with 16 ETH from the staking pool (which stakers deposited in exchange for rETH) to create a new ETH2 validator.",Ethereum,https://icons.llama.fi/rocket-pool.jpg,2,,rocket-pool,2943,Liquid Staking,['Ethereum'],rocketpool/index.js,Rocket_Pool,,,1637712907.0,rocket-pool,1766.86,{'Ethereum': 1766.86},-0.09346765768444243,-1.7891990728256388,6.186210307863391,{},,,"['https://rocketpool.net/files/sigma-prime-audit.pdf', 'https://consensys.net/diligence/audits/2021/04/rocketpool', 'https://github.com/trailofbits/publications/blob/master/reviews/RocketPool.pdf', 'https://immunefi.com/bounty/rocketpool']",,['snapshot:rocketpool-dao.eth'],,,,,
22,194,PancakeSwap AMM,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,https://pancakeswap.finance/,The #1 AMM and yield farm on Binance Smart Chain,Multi-Chain,https://icons.llama.fi/pancakeswap-amm.jpg,2,,,,Dexes,"['Binance', 'Aptos', 'Ethereum']",pancake-swap/index.js,PancakeSwap,['Uniswap V2'],[],,pancakeswap-amm,1576.73,"{'Aptos': 17.62, 'Binance': 1555.17, 'Ethereum': 3.94, 'Binance-staking': 393.76, 'Ethereum-staking': 0.21, 'staking': 393.97}",-0.09028301630904423,-2.990415412577761,-7.529306304463546,{},,,['https://docs.pancakeswap.finance/#is-it-safe'],,,,393972065.8521825,parent#pancakeswap,,
23,2352,Bitget,,-,https://www.bitget.com,Bitget is the leading crypto exchange platform for crypto derivatives trading.,Multi-Chain,https://icons.llama.fi/bitget.jpg,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Binance', 'Ripple', 'Polygon', 'Avalanche', 'Optimism', 'Solana', 'Fantom', 'Cronos', 'Arbitrum']",bitget/index.js,bitgetglobal,[],[],1670842933.0,bitget,1557.22,"{'Optimism': 6.6, 'Cronos': 0.22, 'Binance': 57.92, 'Ethereum': 978.27, 'Avalanche': 8.13, 'Polygon': 30.98, 'Solana': 6.39, 'Tron': 211.88, 'Arbitrum': 0.0, 'Ripple': 32.07, 'Fantom': 0.42, 'Bitcoin': 224.33}",0.04256295527791565,-0.8711644715903333,-0.5872328193051715,{},,,,,,,,,,
24,591,Multichain,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,https://multichain.org/,"Cross-Chain Router Protocol (CRP), envisioned to be the ultimate router for Web3.",Multi-Chain,https://icons.llama.fi/multichain.jpg,2,,multichain,17050,Bridge,"['Ethereum', 'Binance', 'Fantom', 'Fusion', 'Arbitrum', 'Optimism', 'Avalanche', 'Polygon', 'Kava', 'Moonriver', 'Cronos', 'Kucoin', 'Moonbeam', 'Metis', 'xDai', 'Harmony', 'Heco', 'Dogechain', 'Celo', 'Telos', 'Velas', 'Aurora', 'Milkomeda', 'Kardia', 'DFK', 'Bitgert', 'Syscoin', 'IoTeX', 'Oasis', 'ThunderCore', 'OKExChain', 'Shiden', 'Fuse', 'CLV', 'Evmos', 'EthereumPoW', 'Bittorrent', 'EthereumClassic', 'Polygon zkEVM', 'Klaytn', 'Cube', 'Astar', 'Milkomeda A1', 'TomoChain', 'Hoo', 'Arbitrum Nova', 'smartBCH', 'RSK', 'OntologyEVM', 'Conflux', 'GodwokenV1', 'Boba', 'REI', 'Ronin']",anyswap/index.js,MultichainOrg,,,,multichain,1532.51,"{'Optimism': 44.85, 'DFK': 0.05, 'Cube': 0.0, 'Harmony': 0.37, 'ThunderCore': 0.01, 'CLV': 0.0, 'Binance': 404.37, 'Dogechain': 0.24, 'Astar': 0.0, 'Oasis': 0.01, 'Heco': 0.25, 'Shiden': 0.01, 'Avalanche': 20.18, 'Telos': 0.17, 'Arbitrum': 56.51, 'Milkomeda A1': 0.0, 'TomoChain': 0.0, 'Evmos': 0.0, 'Hoo': 0.0, 'Arbitrum Nova': 0.0, 'Milkomeda': 0.08, 'smartBCH': 0.0, 'RSK': 0.0, 'Moonbeam': 0.93, 'Aurora': 0.12, 'EthereumPoW': 0.0, 'Polygon': 12.32, 'OntologyEVM': 0.0, 'Metis': 0.65, 'Kava': 3.33, 'Moonriver': 1.98, 'Klaytn': 0.0, 'Velas': 0.17, 'Bitgert': 0.02, 'IoTeX': 0.02, 'Ethereum': 774.86, 'xDai': 0.44, 'EthereumClassic': 0.0, 'Conflux': 0.0, 'GodwokenV1': 0.0, 'Celo': 0.19, 'Fuse': 0.01, 'Fusion': 67.18, 'Fantom': 98.34, 'Polygon zkEVM': 0.0, 'Cronos': 1.54, 'OKExChain': 0.01, 'Kardia': 0.05, 'Kucoin': 1.19, 'Bittorrent': 0.0, 'Boba': 0.0, 'Syscoin': 0.02, 'REI': 0.0, 'Ronin': 0.0}",-0.03698154124647601,-1.09850324915719,-4.902985397681334,{},,,"['https://github.com/anyswap/Anyswap-Audit/blob/master/TrailOfBits/Anyswap-CrossChain-Bridge-TrailofBits-Audit-Final%20Report.pdf', 'https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/AnySwap%20CrossChain-Bridge%20Security%20Audit%20Report.pdf', 'https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/Anyswap%20Smart%20Contract%20Security%20Audit.pdf', 'https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Travala-AnyswapV5ERC20-v1.0.pdf']",,,,,,,
25,1599,AAVE V3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,https://aave.com,"Earn interest, borrow assets, and build applications",Multi-Chain,https://icons.llama.fi/aave-v3.png,2,,,,Lending,"['Ethereum', 'Avalanche', 'Polygon', 'Arbitrum', 'Optimism', 'Fantom', 'Metis', 'Harmony']",aave/v3.js,AaveAave,[],['Chainlink'],1648776877.0,aave-v3,1511.29,"{'Optimism': 74.75, 'Metis': 0.37, 'Arbitrum-borrowed': 94.31, 'Polygon-borrowed': 96.98, 'Metis-borrowed': 0.11, 'Harmony': 0.0, 'Harmony-borrowed': 0.92, 'Fantom-borrowed': 0.12, 'Ethereum': 906.39, 'Optimism-borrowed': 39.92, 'Avalanche': 200.14, 'Polygon': 191.02, 'Ethereum-borrowed': 559.46, 'Arbitrum': 138.22, 'borrowed': 878.98, 'Fantom': 0.39, 'Avalanche-borrowed': 87.15}",-0.12555063787391418,-4.077038480485285,2.509518478877638,{},,,['https://aave.com/security'],,,,,parent#aave,,
26,691,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,https://juststable.tronscan.org/#/login,"JustStable is a decentralized finance system of USDJ stablecoin for everyone, anywhere, anytime.",Tron,https://icons.llama.fi/juststables.png,2,,just-stablecoin,5446,CDP,['Tron'],juststable/index.js,DeFi_JUST,,['WINkLink'],1634757569.0,juststables,1310.82,{'Tron': 1310.82},-0.21284190209274811,-1.8375707133103703,-2.0909817631088146,{},,,['https://just.tronscan.org/docs/audit-report-just_cn.pdf'],,,,,,,
27,114,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,https://compound.finance,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Ethereum,https://icons.llama.fi/compound.png,2,,,,Lending,['Ethereum'],compound-onchain/index.js,compoundfinance,,['Chainlink'],,compound,1297.28,"{'Ethereum': 1297.28, 'Ethereum-borrowed': 526.14, 'borrowed': 526.14}",-0.06262798964171168,-2.0535858244766843,1.188090464838453,{},,,['https://compound.finance/docs/security'],,,,,parent#compound-finance,,
28,2197,Uniswap V2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,https://uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum. V2
",Ethereum,https://icons.llama.fi/uniswap-v2.png,2,,,1069,Dexes,['Ethereum'],uniswap-v2/index.js,Uniswap,,[],1666191162.0,uniswap-v2,1170.11,{'Ethereum': 1170.11},-0.09899042257603696,-0.14825772845060214,,{},,,"['https://github.com/Uniswap/uniswap-v3-core/tree/main/audits', 'https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits', 'https://github.com/ConsenSys/Uniswap-audit-report-2018-12']",,,,,parent#uniswap,,
29,2611,Balancer V2,0xba100000625a3754423978a60c9317c58a424e3d,BAL,https://balancer.finance/,Balancer is a protocol for programmable liquidity.,Multi-Chain,https://icons.llama.fi/balancer-v2.png,2,,,,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'xDai']",balancer/index.js,BalancerLabs,,,,balancer-v2,925.05,"{'Ethereum': 779.11, 'xDai': 6.15, 'Polygon': 61.56, 'Arbitrum': 78.23}",-0.12668577880829446,-2.791297462728778,-0.722792458466742,{},,,['https://docs.balancer.fi/core-concepts/security/audits'],,,,,parent#balancer,,
30,2293,Bitmex,,-,https://www.bitmex.com,BitMEX is a cryptocurrency exchange and derivative trading platform.,Multi-Chain,https://icons.llama.fi/bitmex.jpg,0,,,,CEX,"['Bitcoin', 'Ethereum']",bitmex/index.js,BitMEX,[],,1668703052.0,bitmex,808.47,"{'Ethereum': 174.62, 'Bitcoin': 633.85}",-0.0859155852041198,-2.7277239080588487,1.081205583289389,{},,,,,,,,,,
31,212,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,https://venus.io/,A Decentralized Marketplace for Lenders and Borrowers with Borderless Stablecoins.,Binance,https://icons.llama.fi/venus.jpg,2,,venus,7288,Lending,['Binance'],venus.js,VenusProtocol,['Compound'],['Chainlink'],,venus,787.8,"{'Binance': 787.8, 'Binance-borrowed': 439.54, 'borrowed': 439.54}",0.15628188253612052,-2.037636990344069,0.5758943172593689,{},,venus.js,['https://www.certik.org/projects/swipe'],,['snapshot:venus-xvs.eth'],,,,,
32,270,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,https://www.liquity.org/,Liquity is a decentralized borrowing protocol that allows you to draw 0% interest loans against Ether used as collateral.,Ethereum,https://icons.llama.fi/liquity.jpg,2,,liquity,7429,CDP,['Ethereum'],liquity/index.js,LiquityProtocol,,['Chainlink'],,liquity,736.29,{'Ethereum': 736.29},-0.10165211436397215,-2.4864886573435285,2.3586849248550266,{},,liquity-treasury.js,"['https://github.com/trailofbits/publications/blob/master/reviews/Liquity.pdf', 'https://www.coinspect.com/liquity-audit/']",,,,,,,
33,337,GMX,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,https://gmx.io/,"GMX is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades. Trading is supported by a unique multi-asset pool that earns liquidity providers fees from market making, swap fees, leverage trading (spreads, funding fees & liquidations) and asset rebalancing.",Multi-Chain,https://icons.llama.fi/gmx.png,2,,gmx,11857,Derivatives,"['Arbitrum', 'Avalanche']",gmx/index.js,GMX_IO,,['Chainlink'],,gmx,615.48,"{'Avalanche': 81.26, 'Avalanche-staking': 16.7, 'Arbitrum-staking': 348.78, 'Arbitrum': 534.22, 'staking': 365.47}",-0.7276390426380601,-2.381898401193965,-6.2827198876045,{},https://gmx.io/#/?ref=defillama,,['https://github.com/xvi10/gambit-contracts/tree/master/audits'],,['snapshot:gmx.eth'],,365473771.47,,,
34,2088,Compound V3,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,https://v3-app.compound.finance/,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Multi-Chain,https://icons.llama.fi/compound-v3.png,2,,,,Lending,"['Ethereum', 'Polygon', 'Arbitrum']",compound-v3/index.js,compoundfinance,[],['Chainlink'],1663169029.0,compound-v3,577.49,"{'Arbitrum-borrowed': 0.68, 'Polygon-borrowed': 6.15, 'Ethereum': 547.76, 'Polygon': 19.33, 'Ethereum-borrowed': 232.77, 'Arbitrum': 10.4, 'borrowed': 239.6}",-0.2181797251751334,-2.840157220303581,-0.061031430002486786,{},,,['https://compound.finance/docs/security'],,,,,parent#compound-finance,,
