,id,symbol,name,image,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,to_ATH_pct,Price_Change_24h,Price_Change_7d,Price_Change_30d,Price_Change_200d,Price_Change_1Y,market_cap_dominance,volume_dominance,mcap_vol_ratio,mcap_circ_ratio,id_protocols,name_protocols,symbol_protocols,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d,gecko_id_chains,tvl_chains,tokenSymbol,cmcId,name_chains,chainId,mcap_tvl_ratio_dapp,mcap_tvl_ratio_chain
10,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.54,8141.18,11270.35,354.81,396460757.52,548845876.03,,259.96,-92.1,-3.48,5.55,-7.8,31.98,-55.79,0.7,0.65,22.95,0.72,,,,,,,,,,,,solana,519.57,SOL,5426,Solana,,,15.67
11,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.0752,6789.5,6789.52,316.56,90235512052.13,90235860981.76,,0.231673,-67.52,-2.13,-2.37,9.6,37.92,-7.49,0.58,0.58,21.45,1.0,,,,,,,,,,,,tron,5601.4,TRON,1958,Tron,,,1.21
12,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,5.3,6567.61,6997.09,124.31,1237856451.26,1318805584.17,,54.98,-90.35,-3.58,0.35,-9.15,-6.93,-48.61,0.56,0.23,52.83,0.94,,,,,,,,,,,,polkadot,0.1,DOT,6636,Polkadot,,,65676.1
13,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,89.1,6508.18,7484.63,549.7,73041270.73,84000000.0,84000000.0,410.26,-78.28,-4.26,3.18,1.82,49.97,30.05,0.56,1.01,11.84,0.87,,,,,,,,,,,,litecoin,1.81,LTC,2,Litecoin,,,3595.68
14,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,5241.89,5241.89,1645.04,5251304850.18,5251304850.18,,1.15,-13.47,-0.19,-0.15,-0.27,-0.36,-0.09,0.45,3.01,3.19,1.0,,,,,,,,,,,,,,,,,,,
15,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,8e-06,4987.11,,107.34,589340802894879.6,999989458688625.0,,8.616e-05,-90.18,-3.64,-2.4,-15.63,-12.45,-28.78,0.43,0.2,46.46,0.59,,,,,,,,,,,,,,,,,,,
16,avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1670992574,14.07,4840.45,10131.25,153.07,343997695.03,430717145.03,720000000.0,144.96,-90.29,-4.44,-1.96,-17.6,5.81,-47.78,0.41,0.28,31.62,0.8,,,,,,,,,,,,avalanche-2,912.33,AVAX,5805,Avalanche,43114,,5.31
17,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,4616.47,4616.47,94.28,4625240148.49,4625247601.39,4625240148.49,1.22,-18.12,-0.16,-0.2,-0.2,-0.26,-0.28,0.4,0.17,48.97,1.0,,,,,,,,,,,,,,,,,,,
18,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,27079.0,4235.04,4235.04,104.82,156348.61,156348.61,156348.61,70643.0,-61.66,-3.21,1.16,-5.4,60.41,-14.51,0.36,0.19,40.4,1.0,,,,,,,,,,,,,,,,,,,
19,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,5.05,3808.45,5052.56,38.42,753766667.0,1000000000.0,1000000000.0,44.92,-88.75,-2.69,1.67,-6.22,-9.28,-12.06,0.33,0.07,99.13,0.75,2196,Uniswap V1,UNI,uniswap,Ethereum,Dexes,uniswap-v1,8.17,0.07375435696108923,-2.3396806496467235,3.1814984975673752,,,,,,,466.15,
20,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.47,3346.9,6472.44,151.03,517099971.23,1000000000.0,1000000000.0,52.7,-87.72,-2.2,2.05,-7.5,1.38,-12.47,0.29,0.28,22.16,0.52,2623,Chainlink,LINK,chainlink,Ethereum,Oracle,chainlink,0.0,,,,,,,,,,,
21,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.51,3265.8,,0.18,930245618.9,985239504.0,,8.14,-56.84,-0.29,-1.13,-2.34,-7.49,-33.43,0.28,0.0,18143.33,0.94,,,,,,,,,,,,,,,,,,,
22,cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,10.54,3083.34,,73.93,292586163.83,,,44.45,-76.29,-3.13,1.47,-6.69,-5.14,1.17,0.26,0.14,41.71,,,,,,,,,,,,,cosmos,2.13,ATOM,3794,Cosmos,,,1447.58
23,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,45.67,2740.0,13700.0,5.5,60000000.0,246638974.0,300000000.0,58.66,-22.15,-3.69,0.27,-1.04,146.79,274.29,0.23,0.01,498.18,0.24,,,,,,,,,,,,,,,,,,,
24,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,149.96,2727.5,,77.95,18147820.38,,,542.33,-72.28,-2.24,-0.4,-2.26,19.66,-25.25,0.23,0.14,34.99,,,,,,,,,,,,,,,,,,,,
25,the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1670498136,1.84,2711.96,9307.44,11.51,1473591410.74,5057362774.0,,5.29,-65.21,-0.36,-7.57,-14.89,22.03,30.54,0.23,0.02,235.62,0.29,,,,,,,,,,,,the-open-network,11.75,TON,11419,TON,,,230.81
26,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,17.87,2522.47,3763.57,59.37,141217943.41,210700000.0,210700000.0,167.09,-89.31,-3.12,-0.71,-7.88,-13.9,-25.3,0.22,0.11,42.49,0.67,,,,,,,,,,,,ethereum-classic,0.28,ETC,1321,EthereumClassic,61,,9008.82
27,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.0904,2423.48,4519.26,80.86,26813735034.88,50001787337.47,50001787337.47,0.875563,-89.67,-0.06,3.34,-3.42,-2.1,-39.44,0.21,0.15,29.97,0.54,,,,,,,,,,,,stellar,17.64,XLM,512,Stellar,,,137.39
28,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,112.28,2179.29,2358.23,63.82,19406581.15,21000000.0,21000000.0,3785.82,-97.03,-2.78,-0.43,-4.37,11.65,-43.54,0.19,0.12,34.15,0.92,,,,,,,,,,,,bitcoin-cash,3.97,BCH,1831,smartBCH,10000,,548.94
29,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,112.28,2179.29,2358.23,63.82,19406581.15,21000000.0,21000000.0,3785.82,-97.03,-2.78,-0.43,-4.37,11.65,-43.54,0.19,0.12,34.15,0.92,,,,,,,,,,,,bitcoin-cash,1.45,BCH,1831,Bitcoincash,,,1502.96
30,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,4.74,2066.06,2221.47,34.36,436388334.61,498891535.06,469213710.0,700.65,-99.32,-3.94,-2.69,-22.04,23.71,-43.21,0.18,0.06,60.13,0.87,,,,,,,,,,,,internet-computer,0.31,ICP,8916,ICP,,,6664.71
31,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,1.0,2037.92,,207.76,2041446767.12,2041446767.12,,1.62,-38.32,-0.23,-0.14,-0.82,-0.22,-0.19,0.17,0.38,9.81,1.0,,,,,,,,,,,,,,,,,,,
32,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,4.67,1995.71,9168.04,154.65,427320766.0,1963057240.0,1963057240.0,236.84,-98.03,-4.19,4.93,-12.67,8.46,-42.46,0.17,0.28,12.9,0.22,,,,,,,,,,,,filecoin,10.03,FIL,2280,Filecoin,,,198.97
33,lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1609873644,2.09,1840.82,2093.43,72.89,879328174.59,1000000000.0,1000000000.0,7.3,-71.32,-5.5,7.93,3.33,85.77,84.19,0.16,0.13,25.25,0.88,182,Lido,LDO,lido-dao,Multi-Chain,Liquid Staking,lido,13100.48,-0.08484029189096987,-1.7360223595637763,6.757628591136381,,,,,,,0.14,
34,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,115.67,1681.34,1689.24,30.44,14544176.16,14612493.0,14612493.0,427.42,-72.95,1.73,14.57,1.19,3.85,61.04,0.14,0.06,55.23,1.0,,,,,,,,,,,,,,,,,,,
35,aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1666839629,8.31,1657.85,8641.51,90.84,198978937.25,1037174591.71,,19.92,-58.02,-2.72,1.03,-18.11,79.01,,0.14,0.17,18.25,0.19,2725,Aptos,APT,aptos,Aptos,Chain,aptos,0.0,,,,aptos,54.89,APT,21794,Aptos,,,30.2
36,hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.0514,1614.74,2566.4,21.4,31459374376.62,50000000000.0,50000000000.0,0.569229,-90.98,-3.72,0.33,-16.5,9.66,-46.78,0.14,0.04,75.46,0.63,,,,,,,,,,,,hedera-hashgraph,48.29,HBAR,4642,Hedera,,,33.44
37,crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1669699773,0.0598,1508.55,,7.89,25263013692.0,30263013692.0,,0.965407,-93.81,-1.45,-2.03,-16.0,-26.52,-68.18,0.13,0.01,191.2,0.83,221,Defi Swap,CRO,crypto-com-chain,Ethereum,Dexes,defi-swap,2.12,-0.14550745919743235,-1.620462645561588,0.726011372429312,crypto-com-chain,361.98,CRO,3635,Cronos,25,711.58,4.17
38,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1680067517,0.0204,1479.57,1764.39,44.57,72714516834.0,85985041177.0,86712634466.0,0.280991,-92.76,-2.66,5.63,-7.31,0.26,-38.3,0.13,0.08,33.2,0.85,,,,,,,,,,,,vechain,1.25,VET,3077,VeChain,,,1183.66
39,arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1680097630,1.16,1476.33,11579.05,277.05,1275000000.0,10000000000.0,10000000000.0,8.67,-86.65,-6.58,2.98,-13.88,,,0.13,0.51,5.33,0.13,2785,Arbitrum,ARB,arbitrum,Arbitrum,Chain,arbitrum,0.0,,,,arbitrum,2597.62,ARB,11841,Arbitrum,42161,,0.57
40,near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1683515160,1.56,1421.91,1560.74,59.07,911050576.72,1000000000.0,,20.44,-92.36,-5.1,-2.71,-18.05,-21.9,-74.95,0.12,0.11,24.07,0.91,,,,,,,,,,,,near,71.95,NEAR,6535,Near,,,19.76
41,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.1334,1198.05,1331.76,99.52,8995941522.19,10000000000.0,,2.84,-95.31,3.42,13.65,-1.44,112.04,-13.27,0.1,0.18,12.04,0.9,,,,,,,,,,,,,,,,,,,
42,apecoin,ape,ApeCoin,https://assets.coingecko.com/coins/images/24383/large/apecoin.jpg?1647476455,3.1,1144.57,3105.24,56.72,368593750.0,1000000000.0,1000000000.0,26.7,-88.35,-3.65,-10.49,-19.81,4.18,-55.24,0.1,0.1,20.18,0.37,2665,ApeCoin,APE,apecoin,Ethereum,Yield,apecoin,0.0,,,,,,,,,,,
43,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.1474,1069.09,1475.78,48.82,7244254924.35,7631724419.78,10000000000.0,3.56,-95.86,-3.52,-7.32,-18.1,-48.08,-64.18,0.09,0.09,21.9,0.95,,,,,,,,,,,,algorand,145.95,ALGO,4030,Algorand,,,7.33
44,paxos-standard,usdp,Pax Dollar,https://assets.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1629877204,1.0,1016.72,1016.72,26.94,1019052716.45,1019052716.45,,1.13,-11.51,-0.19,-0.11,-0.24,-0.21,-0.37,0.09,0.05,37.74,1.0,,,,,,,,,,,,,,,,,,,
45,frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1679886922,1.0,1000.68,1000.68,5.67,1004141409.41,1004141409.41,1004141409.41,1.14,-12.59,-0.23,-0.28,-0.29,-0.2,-0.35,0.09,0.01,176.49,1.0,,,,,,,,,,,,,,,,,,,
46,edgecoin-2,edgt,Edgecoin,https://assets.coingecko.com/coins/images/14409/large/edgecoin_bank_logo-4_%281%29.png?1673251201,1.0,999.01,999006.14,5.74,1000000000.0,1000000000.0,1000000000000.0,2.0,-50.09,-0.1,-0.1,-0.27,-0.16,-0.28,0.09,0.01,174.04,1.0,,,,,,,,,,,,,,,,,,,
47,the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,0.5306,986.86,1597.22,120.38,1853581926.22,3000000000.0,3000000000.0,8.4,-93.66,-4.93,7.25,-7.19,-12.96,-63.36,0.08,0.22,8.2,0.62,1065,The Sandbox,SAND,the-sandbox,Multi-Chain,Gaming,the-sandbox,0.0,,,,,,,,,,,
48,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,0.8847,980.03,,123.79,1107422497.32,,,22.71,-96.1,-3.05,4.45,-13.16,-2.06,-35.09,0.08,0.23,7.92,,1453,EOS REX,EOS,eos,EOS,Lending,eos-rex,52.2,0.04742762840986359,-2.210463844834919,4.013783322704143,eos,94.65,EOS,1765,EOS,,18.77,10.35
49,rocket-pool,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1637662441,48.28,936.65,,3.63,19401717.09,19401717.09,,61.9,-22.0,-3.46,2.41,0.93,225.44,162.6,0.08,0.01,258.03,1.0,900,Rocket Pool,RPL,rocket-pool,Ethereum,Liquid Staking,rocket-pool,1766.86,-0.09346765768444243,-1.7891990728256388,6.186210307863391,,,,,,,0.53,
50,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,64.34,927.27,1030.12,40.62,14402537.3,16000000.0,16000000.0,661.69,-90.27,-5.02,0.47,-7.54,9.38,-45.66,0.08,0.07,22.83,0.9,111,AAVE V2,AAVE,aave,Multi-Chain,Lending,aave-v2,3824.32,-0.1223722148115911,-1.1900679137848158,1.448216706706205,,,,,,,0.24,
51,elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1673490885,36.31,925.74,1140.93,16.0,25490440.0,25495592.0,31415926.0,545.64,-93.34,-2.58,-0.34,-15.21,-17.93,-56.13,0.08,0.03,57.86,1.0,,,,,,,,,,,,elrond-erd-2,54.99,EGLD,6892,Elrond,,,16.83
52,render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1638840934,2.48,908.48,1316.72,110.74,366385484.11,531023443.39,531023443.39,8.78,-71.76,-4.76,-1.52,4.94,383.04,178.17,0.08,0.2,8.2,0.69,,,,,,,,,,,,,,,,,,,
53,optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1660904599,1.38,889.29,5925.4,255.14,644594782.0,4294967296.0,4294967296.0,3.22,-56.92,-9.85,-13.98,-35.36,47.07,,0.08,0.47,3.49,0.15,,,,,,,,,,,,optimism,1030.85,OP,11840,Optimism,10,,0.86
54,fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1669652346,0.3132,874.37,995.01,127.81,2790037914.68,3175000000.0,3175000000.0,3.46,-90.94,-6.26,-10.29,-24.73,67.99,-22.67,0.07,0.23,6.84,0.88,,,,,,,,,,,,fantom,297.37,FTM,3513,Fantom,250,,2.94
55,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,0.9058,848.19,,18.82,931682051.58,,,9.12,-90.01,-4.53,3.86,-9.7,-13.46,-56.53,0.07,0.03,45.07,,,,,,,,,,,,,tezos,58.74,XTZ,2011,Tezos,,,14.44
56,decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,0.463,844.59,1015.35,56.67,1824348109.73,2193179327.32,2193179327.32,5.85,-92.09,-4.83,-0.82,-14.06,-2.8,-57.12,0.07,0.1,14.9,0.83,,,,,,,,,,,,,,,,,,,
57,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,0.8362,836.82,836.82,13.26,1000000000.0,1000000000.0,1000000000.0,15.72,-94.68,-5.23,-2.04,-15.07,-8.32,-37.11,0.07,0.02,63.11,1.0,,,,,,,,,,,,theta-token,1.37,THETA,2416,Theta,361,,610.82
58,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,0.5963,823.98,1083.62,21.37,1382394848.55,1818000000.0,1818000000.0,3.39,-82.42,-6.52,-3.29,-13.75,149.61,3.82,0.07,0.04,38.56,0.76,295,Stacks Staking,STX,blockstack,Stacks,Chain,stacks-staking,208.36,0.44715660345787,6.880786360399242,-23.35583527787074,blockstack,26.89,STX,4847,Stacks,,3.95,30.64
59,axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,6.87,795.14,1856.18,48.98,115661358.61,270000000.0,270000000.0,164.9,-95.83,-3.68,2.44,-11.3,2.69,-72.94,0.07,0.09,16.23,0.43,,,,,,,,,,,,,,,,,,,
60,rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1637652366,1999.94,792.96,,1.98,396446.91,396446.91,,4814.31,-58.46,-2.49,2.68,1.36,47.85,-0.8,0.07,0.0,400.48,1.0,,,,,,,,,,,,,,,,,,,
61,flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,0.7253,751.52,1039.44,16.27,1036200000.0,1433180637.98,1433180637.98,42.4,-98.29,-4.67,-3.34,-17.09,-41.7,-73.72,0.06,0.03,46.19,0.72,,,,,,,,,,,,flow,5.43,FLOW,4558,Flow,,,138.4
62,havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,2.33,742.58,744.27,26.64,318226558.14,318950466.09,318950466.09,28.53,-91.82,-5.0,-8.77,-2.79,35.8,-29.46,0.06,0.05,27.87,1.0,115,Synthetix,SNX,havven,Multi-Chain,Synthetics,synthetix,411.69,-0.8510633624165109,-4.4795553160211625,,,,,,,,1.8,
63,usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1651823371,1.0,739.04,,40.55,740566459.63,,,1.044,-4.26,-0.27,-0.16,0.69,1.62,-0.32,0.06,0.07,18.23,,,,,,,,,,,,,,,,,,,,
64,bitdao,bit,BitDAO,https://assets.coingecko.com/coins/images/17627/large/rI_YptK8.png?1653983088,0.5047,734.3,4853.65,3.46,1453909315.21,9610239403.0,9610239403.0,3.1,-83.73,-1.59,-3.78,2.03,64.41,-34.04,0.06,0.01,212.23,0.15,2502,BitDAO,BIT,bitdao,Ethereum,Services,bitdao,0.0,,,,,,,,,,,
65,immutable-x,imx,ImmutableX,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1665110648,0.7342,733.99,1469.62,21.16,998882826.87,2000000000.0,2000000000.0,9.52,-92.28,-5.86,-1.52,-24.49,77.71,-33.9,0.06,0.04,34.69,0.5,,,,,,,,,,,,,,,,,,,
66,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,10.26,722.32,,57.09,70530000.0,100000000.0,,198.38,-94.84,-6.07,-0.9,-2.8,54.75,-11.61,0.06,0.1,12.65,0.71,,,,,,,,,,,,neo,62.23,NEO,1376,NEO,,,11.61
67,kucoin-shares,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,7.4,716.94,,1.04,96833502.46,144333502.46,,28.83,-74.32,-1.35,-1.03,-7.4,0.65,-57.02,0.06,0.0,689.37,0.67,,,,,,,,,,,,kucoin-shares,48.84,KCS,2087,Kucoin,321,,14.68
68,gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.029,698.25,1452.95,69.27,24028588448.64,24028556438.27,50000000000.0,0.824837,-96.48,-4.54,-1.39,-23.77,-3.43,-65.0,0.06,0.13,10.08,1.0,,,,,,,,,,,,,,,,,,,
69,whitebit,wbt,WhiteBIT Token,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1667923752,4.84,697.58,1936.14,9.73,144118517.11,372610081.0,400000000.0,14.64,-66.91,-0.84,5.68,1.52,-23.01,,0.06,0.02,71.69,0.39,,,,,,,,,,,,,,,,,,,
70,radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.0677,689.84,1626.12,2.75,10181415877.57,12581415877.71,24000000000.0,0.651264,-89.6,-3.67,-7.51,-32.51,29.75,-21.5,0.06,0.01,250.85,0.81,,,,,,,,,,,,,,,,,,,
71,curve-dao-token,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,0.8164,669.98,2699.55,39.38,819748188.0,1956700692.87,3303030299.0,15.37,-94.68,-5.33,-3.38,-9.1,30.44,-40.42,0.06,0.07,17.01,0.42,,,,,,,,,,,,,,,,,,,
72,gatechain-token,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gt.png?1556085624,4.82,669.38,,0.39,139018905.18,300000000.0,,12.94,-62.79,-1.58,-0.04,-6.71,31.66,-14.17,0.06,0.0,1716.36,0.46,,,,,,,,,,,,,,,,,,,
73,bitget-token,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/photo_2022-01-24_14-08-03.jpg?1643019457,0.4566,639.81,914.01,16.19,1400001000.0,2000000000.0,2000000000.0,0.515471,-11.39,-1.57,-2.02,15.09,148.67,182.84,0.05,0.03,39.52,0.7,,,,,,,,,,,,,,,,,,,
74,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,32.61,627.66,684.15,24.62,19266076.64,21000000.0,21000000.0,489.75,-93.35,-5.61,0.66,-2.19,-17.61,-40.7,0.05,0.05,25.49,0.92,,,,,,,,,,,,,,,,,,,
75,conflux-token,cfx,Conflux,https://assets.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1631512305,0.2852,600.28,,147.04,2097547687.27,5284997962.63,,1.7,-83.21,-9.64,-9.04,-7.43,871.26,235.66,0.05,0.27,4.08,0.4,,,,,,,,,,,,conflux-token,38.97,CFX,7334,Conflux,,,15.4
